network_packet_size,login_attempts,session_duration,ip_reputation_score,failed_logins,unusual_time_access,attack_detected,protocol_type_ICMP,protocol_type_TCP,protocol_type_UDP,browser_type_Chrome,browser_type_Edge,browser_type_Firefox,browser_type_Safari,browser_type_Unknown,encryption_used_AES,encryption_used_DES,encryption_used_Unencrypted,succeeded_logins,login_attempts_per_session_duration,log_session_duration,log_login_attempts_per_session_duration
599,4,492.9832634426563,0.606818080396889,1,0,1,0,1,0,0,1,0,0,0,0,1,0,3,0.008113865716387102,6.202501636943257,0.008081125289673606
472,3,1557.9964611204384,0.3015689675960893,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,0.0019255499449867426,7.351797599087553,0.0019236984500743842
629,3,75.04426166420741,0.7391643279163831,2,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0.039976407702214216,4.331315561081424,0.03919802799425792
804,4,601.2488351708328,0.1232671757524846,0,0,1,0,0,1,0,0,0,0,1,0,1,0,4,0.0066528195416187055,6.4006707073641484,0.006630787201828817
453,5,532.5408884201419,0.0548738567431703,1,0,0,0,1,0,0,0,1,0,0,1,0,0,4,0.009388950423756587,6.279535709642165,0.009345148186634497
453,5,380.4715502453134,0.4224858607066699,2,1,0,0,0,1,1,0,0,0,0,1,0,0,3,0.01314158705631523,5.944036274536997,0.013055985545344418
815,4,728.1071646972356,0.4137719285892984,1,0,1,1,0,0,1,0,0,0,0,1,0,0,3,0.005493696798964059,6.591820723533044,0.005478661487862043
653,3,12.5999060098958,0.0977193658576949,3,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0.2380970141875534,2.6100628816810514,0.21357553483313094
406,2,542.5588952208974,0.2945796876500889,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,0.003686235757291787,6.2981380635623685,0.003679458240838586
608,6,531.9441066211396,0.4241165641663546,1,0,0,0,0,1,1,0,0,0,0,0,0,1,5,0.011279380531370961,6.278416553040681,0.011216242646013575
407,6,580.7219253670751,0.1228937389064628,3,0,1,0,0,1,0,0,1,0,0,0,1,0,3,0.010331967397661785,6.365992542087218,0.010278957441279702
406,9,191.0528369326706,0.3397112713433893,1,0,1,0,0,1,0,1,0,0,0,0,1,0,8,0.047107387382955807,5.257770526526969,0.046031493374689335
548,2,186.1476383415076,0.4068986326067099,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0.010744159946476397,5.231897815203265,0.010686851581389344
117,4,833.4889649491395,0.4732919047923998,2,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0.0047991037292786295,6.7268195194663924,0.004787624742226017
155,3,77.84995157439054,0.3524755745227921,3,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0.03853566944268823,4.367546699260356,0.037811710824286714
387,6,292.1361960073892,0.2549124511362793,3,0,1,1,0,0,1,0,0,0,0,0,1,0,3,0.020538365604816183,5.680637333805497,0.020330297470269577
297,8,1421.414371761036,0.345367552273892,3,0,1,0,1,0,0,0,1,0,0,1,0,0,5,0.005628196927605666,7.260110968590089,0.005612417804932319
562,1,87.64100168835026,0.1367291897579692,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.011410184511080567,4.484594523570842,0.01134557932936093
318,5,504.98866997657433,0.3942314568896387,1,0,1,0,1,0,0,0,0,0,1,1,0,0,4,0.009901212239537854,6.226514277686132,0.009852516405667078
217,2,883.6175678484254,0.3101131570512104,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0.0022634226307540746,6.785155424889327,0.0022608649484349864
793,3,122.1894142089281,0.3693246493280864,2,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.024552045031252773,4.813723123778942,0.024255487827459458
454,1,299.71154797427783,0.3738745916057353,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.00333654144045802,5.7061514928961845,0.003330987536524322
513,3,654.5261426459776,0.4970295435549451,1,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0.004583468565323066,6.485438184400827,0.0045729964601292986
215,8,317.0788581057768,0.461950842242767,2,0,1,0,1,0,1,0,0,0,0,1,0,0,6,0.025230316671984537,5.762299333502563,0.02491728654146908
391,5,93.17112499822254,0.536245189457405,2,0,0,0,1,0,0,0,1,0,0,1,0,0,3,0.05366469493735733,4.545113605911509,0.052274273260890576
522,4,211.59584253834697,0.1078985576055601,3,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0.018903963102559967,5.359392910393718,0.018727503579859944
269,9,92.70169297371484,0.5068194256848887,0,0,1,0,1,0,1,0,0,0,0,0,0,1,9,0.09708560557304936,4.540116257103723,0.09265721432231991
575,3,3286.221727767748,0.4204711850467863,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0.0009129024906173415,8.09779802735745,0.0009124860485667057
379,2,214.98212232301017,0.7863154442710675,2,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0.009303099152565832,5.375195637235685,0.009260091853985313
441,7,604.9615522886485,0.3360318477936075,0,0,1,0,1,0,0,0,1,0,0,1,0,0,7,0.011570983269131876,6.4068165389883545,0.011504551405770712
379,1,447.62330730772806,0.0993898185618982,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0.002234021293517071,6.106183576393454,0.0022315295782869933
870,2,674.2716307687525,0.2720868405623606,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0.002966163647905154,6.515115025878653,0.0029617732641007396
497,1,551.4693389958693,0.0351392525704552,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0.0018133374410639544,6.3143979368219005,0.0018116953295615318
288,2,1039.10118603804,0.110269438624984,3,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0.0019247403687659567,6.947073281669984,0.0019228904294106657
664,6,1650.942099269792,0.3915442086550267,2,1,0,0,1,0,1,0,0,0,0,0,0,1,4,0.003634288569328862,7.409706904598533,0.0036277004997653734
255,2,268.71323796747225,0.5173361768348047,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.007442878568722022,5.597359312988089,0.007415317021704957
541,5,162.2873080817919,0.1379758234123113,2,0,0,0,1,0,1,0,0,0,0,0,0,1,3,0.030809556576537875,5.095511275472739,0.03034447078194654
108,7,3325.3086894656926,0.0795093219361312,2,0,1,0,1,0,0,0,1,0,0,1,0,0,5,0.002105067725644669,8.109618466470156,0.0021028551750816643
234,5,1608.365096858205,0.6459042598252172,4,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0.003108746894450175,7.383595030424675,0.0031039247321598975
539,4,361.9425945829811,0.3087899599206534,0,0,0,0,1,0,1,0,0,0,0,0,1,0,4,0.011051476283438468,5.894244680114462,0.010990854947329858
647,2,1801.41325899014,0.2991840394359722,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0.0011102394134265372,7.496881745388214,0.0011096235534415113
534,4,888.2555882449734,0.0367521363575246,3,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0.004503208370355711,6.790384695031449,0.004493099265118811
476,4,460.1784563437431,0.3974194615917665,2,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0.008692280016281528,6.13378507512637,0.008654719650219347
439,5,1653.5169443242044,0.2453131148697448,2,0,0,0,1,0,1,0,0,0,0,0,0,1,3,0.0030238577337612406,7.411264368665649,0.0030192950715444843
204,4,899.8403029798167,0.3373211395417786,1,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0.004445233211664359,6.803327997703187,0.004435382344656888
356,2,1401.0372662699012,0.6729768279913647,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0.001427513777220764,7.245681648032928,0.0014264958480521416
407,7,432.6976830475844,0.081769711383674,3,1,1,0,1,0,0,1,0,0,0,0,1,0,4,0.016177576803040564,6.072347708534186,0.016048114201943194
711,5,1282.4285713839413,0.207445483534184,2,0,1,0,1,0,0,1,0,0,0,1,0,0,3,0.0038988526235065215,7.157290347328192,0.003891271795581753
568,6,365.73555486698257,0.5343683322456065,2,0,1,0,1,0,0,0,0,0,1,1,0,0,4,0.01640529590343545,5.904641029381648,0.016272182902319892
147,1,1062.659149730583,0.2633726317268964,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.000941035514777745,6.9694702705816365,0.0009405930184391297
564,2,457.4952008808089,0.219704731816743,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0.004371630557324818,6.127949824642414,0.004362102738436954
422,5,415.6167950841102,0.4663241681421678,1,0,0,0,1,0,1,0,0,0,0,1,0,0,4,0.012030312680189278,6.0321668426664665,0.011958523657978181
